tamanho(bytes),latencia(s),vazao(bps), Lost Packages
 1.000000, 0.009657, 828.443217, 0.000000
 100.000000, 0.014163, 56483.878560, 0.000000
 200.000000, 0.017190, 93077.370564, 0.000000
 300.000000, 0.012650, 189723.320158, 0.000000
 400.000000, 0.012523, 255523.023689, 0.000000
 500.000000, 0.015240, 262467.191601, 0.000000
 600.000000, 0.016097, 298198.384759, 0.000000
 700.000000, 0.015247, 367293.397464, 0.000000
 800.000000, 0.014447, 443008.767882, 0.000000
 900.000000, 0.013647, 527601.367855, 0.000000
 1000.000000, 0.016053, 498338.870432, 0.000000
 1024.000000, 0.023033, 355658.465991, 0.000000
 2048.000000, 0.017830, 918900.729108, 0.000000
 3072.000000, 0.018320, 1341484.716157, 0.000000
 4096.000000, 0.014553, 2251580.393953, 0.000000
 5120.000000, 0.017637, 2322434.322434, 0.000000
 6144.000000, 0.020630, 2382549.684925, 0.000000
 7168.000000, 0.017613, 3255715.367146, 0.000000
 8192.000000, 0.020543, 3190134.674671, 0.000000
 9216.000000, 0.018180, 4055445.544554, 0.000000
 10240.000000, 0.020357, 4024234.485017, 0.000000
 11264.000000, 0.017763, 5072921.748921, 0.000000
 12288.000000, 0.022777, 4315995.902239, 0.000000
 13312.000000, 0.019693, 5407718.348003, 0.000000
 14336.000000, 0.017887, 6411926.947447, 0.000000
 15360.000000, 0.019573, 6277929.155313, 0.000000
 16384.000000, 0.023317, 5621386.704789, 0.000000
 17408.000000, 0.024507, 5682698.585419, 0.000000
 18432.000000, 0.024267, 6076483.516484, 0.000000
 19456.000000, 0.020947, 7430681.094844, 0.000000
 20480.000000, 0.022273, 7355881.472613, 0.000000
 21504.000000, 0.023053, 7462348.178138, 0.000000
 22528.000000, 0.023210, 7764928.909953, 0.000000
 23552.000000, 0.021033, 8957971.473851, 0.000000
 24576.000000, 0.021683, 9067240.584166, 0.000000
 25600.000000, 0.022973, 8914683.691236, 0.000000
 26624.000000, 0.023920, 8904347.826087, 0.000000
 27648.000000, 0.023240, 9517383.820998, 0.000000
 28672.000000, 0.025187, 9107040.762308, 0.000000
 29696.000000, 0.024770, 9590956.802584, 0.000000
 30720.000000, 0.025060, 9806863.527534, 0.000000
 31744.000000, 0.022537, 11268392.249667, 0.000000
 32768.000000, 0.030663, 8549103.163387, 0.000000
