packetSize(bytes),latency(s),throughput(bps), LostPacket
1, 2.703283,3.124932, 0.000000
32, 2.616570, 97.838013, 0.000000
64, 2.740964, 186.795578, 0.000000
96, 2.640863, 290.814026, 0.000000
128, 2.721113, 376.316620, 0.000000
160, 2.823811, 453.288116, 0.000000
192, 2.723777, 563.922791, 0.000000
224, 2.779976, 644.609863, 0.000000
256, 2.620165, 781.630127, 0.000000
288, 2.820059, 817.004150, 0.000000
320, 2.645586, 967.649536, 0.000000
352, 2.916567, 965.518738, 0.000000
384, 2.705712, 1135.375854, 0.000000
416, 2.818063, 1180.953003, 0.000000
448, 2.786757, 1286.082764, 0.000000
480, 2.677300, 1434.280762, 0.000000
512, 2.808166, 1458.603271, 0.000000
544, 2.641128, 1647.780884, 0.000000
576, 2.749395, 1676.005005, 0.000000
608, 2.572678, 1890.636841, 0.000000
640, 2.769294, 1848.846680, 0.000000
672, 2.598327, 2069.023682, 0.000000
704, 2.913000, 1933.401978, 0.000000
736, 2.644220, 2226.743652, 0.000000
768, 2.856825, 2150.639404, 0.000000
800, 2.678276, 2389.597168, 0.000000
832, 2.769537, 2403.289551, 0.000000
864, 2.810961, 2458.945557, 0.000000
896, 2.652841, 2702.008789, 0.000000
928, 2.856030, 2599.412598, 0.000000
960, 2.647028, 2901.367188, 0.000000
992, 2.667729, 2493.760820, 0.000000
1024, 2.644432, 3097.829834, 0.000000
2048, 3.133644, 5228.417480, 0.000000
3072, 3.474092, 7074.078613, 0.000000
4096, 3.348585, 9785.625977, 0.000000
5120, 3.639110, 11255.499023, 0.000000
6144, 3.575579, 13746.583984, 0.000000
7168, 3.671595, 15618.281250, 0.000000
8192, 4.131291, 15863.322266, 0.000000
9216, 4.062268, 18149.466797, 0.000000
10240, 4.196436, 19521.328125, 0.000000
11264, 4.208520, 21411.802734, 0.000000
12288, 4.673707, 21033.410156, 0.000000
13312, 4.721812, 22554.052734, 0.000000
14336, 4.699430, 24404.662109, 0.000000
15360, 4.512549, 27230.730469, 0.000000
16384, 4.669044, 28072.556641, 0.000000
17408, 5.173577, 26918.318359, 0.000000
18432, 5.131384, 28736.107422, 0.000000
19456, 5.817000, 26757.435547, 0.000000
20480, 6.156162, 26613.982422, 0.000000
21504, 6.474431, 26570.984375, 0.000000
22528, 7.017732, 25681.230469, 0.000000
23552, 7.018456, 26845.791016, 0.000000
24576, 6.963632, 28233.544922, 0.000000
25600, 7.256561, 28222.736328, 0.000000
26624, 7.156204, 29763.263672, 0.000000
27648, 7.677755, 28808.421875, 0.000000
28672, 7.420451, 30911.328125, 0.000000
29696, 7.614355, 31200.015625, 0.000000
30720, 7.456609, 32958.683594, 0.000000
31744, 8.095859, 31368.136719, 0.000000
32768, 8.012709, 32716.027344, 0.000000
