tamanho(bytes),latencia(s),vazao(bps), Lost Packages
 1.000000, 1.290070, 6.201214, 0.000000
 100.000000, 1.355233, 590.304253, 0.000000
 200.000000, 1.427357, 1120.953184, 0.000000
 300.000000, 1.376880, 1743.071292, 0.000000
 400.000000, 1.458640, 2193.824384, 0.000000
 500.000000, 1.677243, 2384.865643, 0.000000
 600.000000, 1.696170, 2829.905021, 0.000000
 700.000000, 1.878710, 2980.768719, 0.000000
 800.000000, 1.572673, 4069.503732, 0.000000
 900.000000, 1.682307, 4279.838000, 0.000000
 1000.000000, 1.901593, 4206.998342, 0.000000
 1024.000000, 1.678957, 4879.220627, 0.000000
 2048.000000, 2.806280, 5838.334022, 0.000000
 3072.000000, 4.297513, 5718.655905, 0.000000
 4096.000000, 3.550173, 9229.971870, 0.000000
 5120.000000, 3.406993, 12022.330540, 0.000000
 6144.000000, 3.324393, 14785.254051, 0.000000
 7168.000000, 3.989360, 14374.235466, 0.000000
 8192.000000, 4.879500, 13430.884312, 0.000000
 9216.000000, 58.329760, 1263.986000, 16.000000
 10240.000000, 41.727050, 1963.234880, 11.000000
 11264.000000, 45.271430, 1990.482739, 12.000000
 12288.000000, 13.544263, 7257.980562, 2.000000
 13312.000000, 6.567727, 16215.047520, 0.000000
 14336.000000, 7.058487, 16248.242069, 0.000000
 15360.000000, 236.945367, 518.600561, 69.000000
 16384.000000, 51.928517, 2524.085193, 14.000000
 17408.000000, 5.196133, 26801.467758, 0.000000
 18432.000000, 5.181327, 28459.120508, 0.000000
 19456.000000, 5.403290, 28806.153288, 0.000000
 20480.000000, 6.855377, 23899.489111, 0.000000
 21504.000000, 6.773200, 25398.925176, 0.000000
 22528.000000, 6.749393, 26702.251758, 0.000000
 23552.000000, 7.294323, 25830.497414, 0.000000
 24576.000000, 6.909350, 28455.353977, 0.000000
 25600.000000, 7.297153, 28065.738877, 0.000000
 26624.000000, 7.058613, 30174.765204, 0.000000
 27648.000000, 7.856013, 28154.738366, 0.000000
 28672.000000, 7.614097, 30125.175716, 0.000000
 29696.000000, 7.528790, 31554.605720, 0.000000
 30720.000000, 8.125380, 30245.970035, 0.000000
 31744.000000, 8.013167, 31691.840512, 0.000000
 32768.000000, 8.428073, 31103.668612, 0.000000
