packetSize(bytes),latency(s),throughput(bps), LostPacket
1, 2.603283,3.174932, 0.000000
32, 2.505864, 102.160378, 0.000000
64, 2.575415, 198.802902, 0.000000
96, 2.461176, 312.045959, 0.000000
128, 2.569545, 398.514130, 0.000000
160, 2.457068, 520.946045, 0.000000
192, 2.684626, 572.146790, 0.000000
224, 2.495816, 718.001648, 0.000000
256, 2.648535, 773.257690, 0.000000
288, 2.502541, 920.664185, 0.000000
320, 2.605680, 982.469055, 0.000000
352, 2.569759, 1095.822510, 0.000000
384, 2.630025, 1168.049805, 0.000000
416, 2.702391, 1231.501953, 0.000000
448, 2.557095, 1401.590454, 0.000000
480, 2.682705, 1431.390991, 0.000000
512, 2.519154, 1625.942627, 0.000000
544, 2.716817, 1601.874634, 0.000000
576, 2.612170, 1764.050537, 0.000000
608, 2.906820, 1673.306152, 0.000000
640, 2.622889, 1952.046143, 0.000000
672, 2.808135, 1914.437866, 0.000000
704, 2.665151, 2113.201172, 0.000000
736, 2.848333, 2067.173828, 0.000000
768, 2.659750, 2309.991455, 0.000000
800, 2.803594, 2282.784180, 0.000000
832, 2.801454, 2375.908936, 0.000000
864, 2.667729, 2590.968018, 0.000000
896, 2.805539, 2554.945557, 0.000000
928, 2.698137, 2751.528076, 0.000000
960, 3.088100, 2486.965820, 0.000000
992, 2.667729, 2493.760820, 0.000000
1024, 2.940930, 2785.513428, 0.000000
2048, 2.975152, 5506.945312, 0.000000
3072, 3.381169, 7268.492188, 0.000000
4096, 3.550449, 9229.255859, 0.000000
5120, 3.803359, 10769.428711, 0.000000
6144, 3.660307, 13428.381836, 0.000000
7168, 4.179693, 13719.668945, 0.000000
8192, 4.040161, 16221.136719, 0.000000
9216, 4.139996, 17808.712891, 0.000000
10240, 4.133947, 19816.414062, 0.000000
11264, 3.991558, 22575.644531, 0.000000
12288, 4.433186, 22174.570312, 0.000000
13312, 4.526881, 23525.250000, 0.000000
14336, 4.547750, 25218.625000, 0.000000
15360, 4.716991, 26050.503906, 0.000000
16384, 4.780772, 27416.492188, 0.000000
17408, 5.201999, 26771.246094, 0.000000
18432, 5.059811, 29142.589844, 0.000000
19456, 5.528307, 28154.732422, 0.000000
20480, 6.089248, 26906.441406, 0.000000
21504, 6.763066, 25436.984375, 0.000000
22528, 6.936501, 25981.974609, 0.000000
23552, 7.009096, 26881.640625, 0.000000
24576, 6.940792, 28326.449219, 0.000000
25600, 7.012823, 29203.646484, 0.000000
26624, 7.232228, 29450.400391, 0.000000
27648, 7.414575, 29830.974609, 0.000000
28672, 7.528067, 30469.441406, 0.000000
29696, 7.476890, 31773.638672, 0.000000
30720, 7.791639, 31541.501953, 0.000000
31744, 7.819981, 32474.759766, 0.000000
32768, 8.116022, 32299.566406, 0.000000
