tamanho(bytes),latencia(s),vazao(bps), Lost Packages
 1.000000, 0.010465, 764.483620, 0.000000
 100.000000, 0.010135, 78937.423344, 0.000000
 200.000000, 0.010969, 145862.474174, 0.000000
 300.000000, 0.010718, 223919.030878, 0.000000
 400.000000, 0.010627, 301126.495399, 0.000000
 500.000000, 0.011209, 356856.840633, 0.000000
 600.000000, 0.010497, 457289.044466, 0.000000
 700.000000, 0.010832, 516993.069831, 0.000000
 800.000000, 0.012566, 509292.735629, 0.000000
 900.000000, 0.012590, 571901.979178, 0.000000
 1000.000000, 0.011885, 673099.440626, 0.000000
 1024.000000, 0.011953, 685328.788271, 0.000000
 2048.000000, 0.012120, 1351788.041659, 0.000000
 3072.000000, 0.012817, 1917393.543152, 0.000000
 4096.000000, 0.013224, 2477867.719008, 0.000000
 5120.000000, 0.012955, 3161631.461526, 0.000000
 6144.000000, 0.000000, 0.000000, 0.000000
 7168.000000, 0.000000, 0.000000, 0.000000
 8192.000000, 0.000000, 0.000000, 0.000000
 9216.000000, 0.000000, 0.000000, 0.000000
 10240.000000, 0.000000, 0.000000, 0.000000
 11264.000000, 0.000000, 0.000000, 0.000000
 12288.000000, 0.000000, 0.000000, 0.000000
 13312.000000, 0.000000, 0.000000, 0.000000
 14336.000000, 0.000000, 0.000000, 0.000000
 15360.000000, 0.000000, 0.000000, 0.000000
 16384.000000, 0.000000, 0.000000, 0.000000
 17408.000000, 0.000000, 0.000000, 0.000000
 18432.000000, 0.000000, 0.000000, 0.000000
 19456.000000, 0.000000, 0.000000, 0.000000
 20480.000000, 0.000000, 0.000000, 0.000000
 21504.000000, 0.000000, 0.000000, 0.000000
 22528.000000, 0.000000, 0.000000, 0.000000
 23552.000000, 0.000000, 0.000000, 0.000000
 24576.000000, 0.000000, 0.000000, 0.000000
 25600.000000, 0.000000, 0.000000, 0.000000
 26624.000000, 0.000000, 0.000000, 0.000000
 27648.000000, 0.000000, 0.000000, 0.000000
 28672.000000, 0.000000, 0.000000, 0.000000
 29696.000000, 0.000000, 0.000000, 0.000000
 30720.000000, 0.000000, 0.000000, 0.000000
 31744.000000, 0.000000, 0.000000, 0.000000
 32768.000000, 0.000000, 0.000000, 0.000000
